Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2024|LITV101L|World Literature [E] 01|YAGI, Naoko|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012G101202411000012G111&pLng=en
2024|ARTT181L|Drama and Society [E] 01|YAGI, Naoko|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012G301202411000012G311&pLng=en
2024|GENX201L|Advanced Writing in Political Science and Economics [E] 01|ROMEO, Kenneth|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012G401202411000012G411&pLng=en
2024|GENX201L|Advanced Writing in Political Science and Economics [E] 02|ROMEO, Kenneth|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-606']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012G402202411000012G411&pLng=en
2024|GENX201S|Intermediate Seminar (Kingdoms in Shakespeare's Plays) [E] 01|YAGI, Naoko|Schl Political Sci/Econo|fall semester|['Mon.2']|['3-709']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S340120241100001S3411&pLng=en
2024|GENX201S|Intermediate Seminar (Shakespearean Tragedy) [E] 01|YAGI, Naoko|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S360120241100001S3611&pLng=en
2024|POLX401L|Research Methods in Political Science (Empirical Analysis) [E] 02|FUKUMOTO, Makoto|Schl Political Sci/Econo|fall semester|['Tues.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H010220241100009H0111&pLng=en
2024|POLX401L|Research Methods in Political Science (Normative Studies) [E] 02|INAMURA, Kazutaka|Schl Political Sci/Econo|fall semester|['Fri.1']|['3-802']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H020220241100009H0211&pLng=en
2024|POLX401L|Research Methods in Political Science (Formal Models) [E] 02|KURIZAKI, Shuhei|Schl Political Sci/Econo|fall semester|['Mon.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H030220241100009H0311&pLng=en
2024|POLX401L|Intensive Seminar on Research Methods (Formal Models) [J] 01|CHUNG, Hun|Schl Political Sci/Econo| |['\xa0']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H120120241100009H1211&pLng=en
2024|POLX411L|Reading Seminar in Empirical Political Methodology & Analysis [E] 01|KOHNO, Masaru|Schl Political Sci/Econo| |['\xa0']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005811012024110100581111&pLng=en
2024|POLX421L|Reading Seminar in Political Thought [E] 01|YAZAWA, Masashi／YAMAOKA, Ryuichi|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-805']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005812012024110100581211&pLng=en
2024|POLX431L|Reading Seminar in Comparative Politics [E] 01|KELLAM, Marisa／JOU, Willy／HINO, Airo|Schl Political Sci/Econo|fall semester|['Mon.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005813012024110100581311&pLng=en
2024|JOUX331L|Contemporary Journalism in Asia [E] 01|GREIMEL, Karl Hans|Schl Political Sci/Econo|fall semester|['Mon.6']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=110100596B012024110100596B11&pLng=en
2024|ECNE301L|Topics in Economics (Microeconometrics) [E] 01|TOYAMA, Yuta|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-810']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1102006106012024110200610611&pLng=en
2024|ECNE301L|Topics in Economics (Data and Econometric Methods I) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1102006129012024110200612911&pLng=en
2024|ECNE301L|Topics in Economics (Data and Econometric Methods II) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Mon.2']|['3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1102006130012024110200613011&pLng=en
2024|ECNE301L|Topics in Global Political Economy (Microeconometrics) [E] 01|TOYAMA, Yuta|Schl Political Sci/Econo|spring semester|['Thur.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1103003962012024110300396211&pLng=en
2024|ECNE301L|Topics in Global Political Economy (Data and Econometric Methods I) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1103003992012024110300399211&pLng=en
2024|ECNE301L|Topics in Global Political Economy (Data and Econometric Methods II) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|fall semester|['Mon.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1103003993012024110300399311&pLng=en
2024|GENX201S|Intermediate Seminar (Labour Economics) [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|spring semester|['Mon.4']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S2201202411G0001S2211&pLng=en
2024|GENX201S|Intermediate Seminar (Labour Market Dynamics) [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|spring semester|['Mon.5']|['3-606']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S2901202411G0001S2911&pLng=en
2024|GENX201S|Intermediate Seminar (Introduction to Empirical Economics) [E] 01|YOSHIDA, Masahiro|Schl Political Sci/Econo|fall semester|['Fri.4']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3301202411G0001S3311&pLng=en
2024|GENX201S|Intermediate Seminar (Introduction to Japan's International Relations) [E] 01|FUJITA, Goro|Schl Political Sci/Econo|spring semester|['Wed.3']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3401202411G0001S3411&pLng=en
2024|GENX201S|Intermediate Seminar (global governance of education policy) [E] 01|EDWARDS JR, Donald Brent|Schl Political Sci/Econo|fall semester|['Thur.5']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3601202411G0001S3611&pLng=en
2024|GENX201S|Intermediate Seminar (Democracy: For and Against) [E] 01|KOBAYASHI, Takuto|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-1104実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3701202411G0001S3711&pLng=en
2024|GENX201S|Intermediate Seminar (Postwar Japan and Asia) [E] 01|FUJITA, Goro|Schl Political Sci/Econo|fall semester|['Wed.3']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3801202411G0001S3811&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 01|YAMAMOTO, Teppei|Schl Political Sci/Econo|summer quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3901202411G0001S3911&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 02|YAMAMOTO, Teppei|Schl Political Sci/Econo|fall quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3902202411G0001S3911&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 03|YAMAMOTO, Teppei|Schl Political Sci/Econo|winter quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3903202411G0001S3911&pLng=en
